antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Entertainment_Freq'}),"frozenset({'Shopping_Freq', 'HealthFitness_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'HealthFitness_Freq', 'Travel_Freq'})",frozenset({'Entertainment_Freq'}),0.902,1.0,0.902,1.0,1.0,0.0,inf,0.0
"frozenset({'Entertainment_Freq', 'Travel_Freq'})",frozenset({'HealthFitness_Freq'}),0.902,1.0,0.902,1.0,1.0,0.0,inf,0.0
frozenset({'Travel_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.902,1.0,0.902,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'KidsPets_Freq'})",frozenset({'Entertainment_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})",frozenset({'KidsPets_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
frozenset({'Home_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.844,1.0,0.844,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Home_Freq'})",frozenset({'Entertainment_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})",frozenset({'Grocery_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
frozenset({'Home_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Miscellaneous_Freq'})",frozenset({'Entertainment_Freq'}),0.81,1.0,0.81,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Home_Freq'})",frozenset({'Entertainment_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})",frozenset({'Shopping_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
frozenset({'Home_Freq'}),"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Travel_Freq'})",frozenset({'Entertainment_Freq'}),0.831,1.0,0.831,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Entertainment_Freq', 'PersonalCare_Freq'})",frozenset({'KidsPets_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
frozenset({'PersonalCare_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'KidsPets_Freq'})",frozenset({'Entertainment_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",frozenset({'KidsPets_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",frozenset({'Grocery_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Grocery_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'KidsPets_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Entertainment_Freq'}),"frozenset({'Grocery_Freq', 'KidsPets_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq'})",frozenset({'Entertainment_Freq'}),0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq'})",frozenset({'KidsPets_Freq'}),0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
frozenset({'Miscellaneous_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'KidsPets_Freq'})",frozenset({'Entertainment_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
